company_name,Ratings,Rieview,Salaries,Interviews,Jobs,Company_Type,Company_location,Company_years,Company_emp,Company_Details,Discription
Galfar,4.2,582,2.1k,20,,Private,Muscat + 29 more,51 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Galfar Engineering & Contracting SAOG (Galfar) is Oman’s largest construction company with EPC capability in Oil & Gas, Roads & Bridges and Civil & Utilities sectors operating in Oman, other GCC countries as well as India. Over the last 40 years, Galfar has established itself as the “Preferred Partner in Development” in Oman with a turnover nearly USD 1 Billion. The Company has grown steadily over the last 4 decades, owns a fleet of more than 7000 equipments, employs a workforce of over 23,000 and also prides itself as the largest employer of Omani nationals in the Private Sector.The Company’s endeavor towards excellence in construction quality, safety, performance, employee satisfaction and social responsibility has enabled it to be the most trusted and sought after Engineering, Procurement, Construction, Operations & Maintenance and Project Management company in the region. It has consistently delivered projects, providing value-added engineering, construction and service skills to customers for whom the quality of execution, efficiency and reliability are critical.Since its inception in 1972, Galfar, with its strong leadership has executed a focused strategic vision and is now a Public Limited Company listed in the Muscat Securities Market. The company has also been successful in creating an excellent track record in ensuring shareholder confidence. For the short term, growth is already built into our order book based on the plans of our major clients and partners. It has also identified areas for growth based on regional trends and evolving market conditions.Galfar always has the highest concern for safety and this is evidenced by securing some of the best records for Safety in its operations, having won several awards from government organizations, clients and the Sword of Honour from the British Safety Council."
United Breweries,3.8,582,3.3k,18,4,Public,"Bangalore/Bengaluru,Karnataka + 76 more",166 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","In 1915, the foundation of Good Times was laid with the coming together of 5 breweries in South India. Today, our beer business has shown strong growth and we are the undisputed king of the Indian beer market.United Breweries Limited is synonymous with innovation and aggressive marketing that is complemented by a strong distribution network which encompasses an impressive spread of owned and contract manufacturing facilities across the country."
Samasta Microfin...,4.1,581,3k,24,,Public,"Bangalore,Karnataka + 182 more",15 years old,5k-10k Employees (India),"Food Processing,Public,Bhopal","Samasta Microfinance Limited, an IIFL Group company, is a microfinance institution committed to working towards women’s economic empowerment. Since its inception in March 2008, Samasta has been providing innovative and affordable financial products to women from unbanked sections in society in both rural and semi urban areas. Today as the organisation caters to 16 states across India, Samasta with its wide array of responsible financial products and services acts as a catalyst for sustainable and inclusive economic growth."
Mu Sigma,3.1,581,6.4k,103,6,Private,"Northbrook,Illinois + 5 more",19 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","We Address descriptive, inquisitive, predictive, and prescriptive analytics in unison to drive better consumption by business stakeholders and establish a formal decision supply chain to ensure transparency from problem definition through insight generation and success measurement. This isn&rsquo;t another methodology. It&rsquo;s the most important aspect of data science consulting, a system &ldquo;a series of habits, artifacts, and software&rdquo; each of which must be continuously sharpened, but also applied daily to your problem-solving work. If applied in your environment, this system provides the &lsquo;mojo&rsquo; that your company needs to move beyond just mitigating the risks of change, toward taking advantage of those risks."
Godrej Agrovet,4.1,580,2.9k,24,11,,Mumbai + 92 more,,1k-5k Employees (India),"Food Processing,Public,Bhopal","Godrej Agrovet is a diversified, Research & Development focused agri-business company, dedicated to improving the productivity of Indian farmers by innovating products and services that sustainably increase crop and livestock yields. We hold leading market positions in the different businesses in - Animal Feed, Crop Protection, Oil Palm, Dairy and Poultry and Processed Foods.

Our Animal Feed business is one of the largest organised players in the Compound Feed market in India, with annual sales of more than a million tonnes across cattle, poultry, aqua feed and specialty feed. 

Our teams have worked closely with Indian farmers to develop over 61,700 hectares of smallholder Oil Palm Plantations to bridge the demand and supply of edible oil. We have plantations across Andhra Pradesh, Goa, Gujarat, Orissa, Tamil Nadu, Maharashtra and Chhattisgarh. 

In our Crop Protection business, we meet the niche requirement of farmers through innovative agrochemical offerings. Our portfolio offers a range of products that cover the entire life-cycle of a crop. 

Continuing the business growth story, we acquired promoter holding in Astec Life Sciences Limited in 2015. Astec is a business to-business tech, bulk manufacturer of fungicides in India.

We acquired controlling stake in Cream Line Dairy Products, a leading Dairy player in South India. The company has significant presence in Andhra Pradesh, Telangana, Tamil Nadu, Karnataka and Maharashtra, under the Jersey Brand name.

In 2004, we entered into a joint venture with the Advanced Chemical Industries Limited (ACI) Group from Bangladesh, to manufacture and sell Compound Feed. The ACI-Godrej Agrovet joint venture ranks among the top three feed companies, across all categories in Bangladesh.

Our poultry business, Godrej Tyson Foods, best known for two brands, Real Good Chicken and Yummiez, is a joint venture with Tyson Foods, one of the largest poultry processing companies in the world."
PayPal,4.1,580,5.6k,101,18,Private,"San Jose,California + 6 more",25 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 277 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom, enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies. For PayPal financial information, visit https://investor.paypal-corp.com."
Atlas Copco,4.3,580,3.8k,34,57,Public,"Nacka Municipality,Stockholm + 44 more",150 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Atlas Copco is a global, industrial company based in Stockholm, Sweden, with approximately 37 000 employees and customers in more than 180 countries. We are pioneers and technology drivers, and industries all over the world rely on our expertise. Our market-leading compressors, vacuum solutions, generators, pumps, power tools and assembly systems can be found everywhere. 

As a truly global company, we have a diverse group of talent that provides fresh ideas on how to best serve our customers. By listening to our customers and analyzing their needs, we continuously set new industry standards together."
ICICI Prudential...,3.9,579,5k,31,,JV,New Delhi + 123 more,30 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","ICICI Prudential Asset Management Company is one of India's premiere fund houses focused on bridging the gap between savings & investments. We strive to create long term wealth and value for our investors through our range of simple and relevant investment solutions.
Founded in 1993 as ICICI Asset Management Company, the joint venture between ICICI Bank, a well-known, trusted name in financial services in India and Prudential Plc, one of UK’s largest players in the financial services sector, established ICICI Prudential Asset Management Company in the year 1998.
Over the last two decades, we have focused on transforming the financial landscape in the country through product innovation and consistent, sustained risk adjusted performance. 
Today, we are an ideal mix of investment expertise, resource bandwidth & process orientation."
Softenger,4.1,578,2.4k,18,2,Private,"Pune,Maharashtra + 22 more",24 years old,501-1k Employees (India),"Food Processing,Public,Bhopal","Softenger was incorporated in August 1999. We are an ISO 9001, ISO 27001 certified entity and are compliant with EICC norms. We have our presence in India, Singapore, Malaysia & Dubai. We serve our clients and offer them services and solutions in IT Infrastructure Management Services, Application Development & Support, and IT Process automation.

At Softenger, we drive innovations, bring ideas, solution and services to life and advance the well-being of businesses around the globe. We strongly believe in client satisfaction, and that has led to continued success. Softenger is consistently well-known for its growth and expertise in the IT industry. We admire our motto “Strive to excel”, to provide an exceptional value and delivering superior services to our business partners & not just their IT environment."
Natco Pharma,3.9,577,3k,25,5,Public,"Hyderabad/Secunderabad,Telangana + 33 more",42 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Natco Pharma is an Indian pharmaceutical company based in Hyderabad, which makes finished dosage formulations and active pharmaceutical ingredients. It is the market leader in branded oncology medicines in India, and among the country's top three in producing hepatitis C drugs"
HPCL-Mittal Ener...,4.4,576,3.6k,13,,JV,"Noida,Uttar Pradesh + 19 more",16 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","HPCL-Mittal Energy Limited (HMEL) is a joint venture between Hindustan Petroleum Corporation Limited (HPCL) and Mittal Energy Investment Pte Ltd, Singapore, a Lakshmi N Mittal Company. HMEL owns and operates the Guru Gobind Singh Refinery (GGSR) of 11.3 MMTPA capacity at Bathinda, Punjab. HMEL’s wholly owned subsidiary, HPCL-Mittal Pipelines Limited (HMPL), owns and operates a Single Point Mooring (SPM), Crude Oil Terminal (COT) and 1017 km cross country pipeline for transportation of the crude from Mundra, Gujarat to the refinery at Bathinda."
VeeTechnologies,3.7,575,4.1k,39,76,Private,New York + 17 more,23 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Vee Technologies works as a trusted business partner to enterprises and organizations around the world, delivering production solutions for extraordinary outcomes in quality and cost. Client satisfaction achievements have consistently qualified Vee Technologies for the IAOP Global Outsourcing 100 list of the world's top outsourcing service providers and powered the company's growth onto the Inc. 5000 list as one of the fastest growing American companies."
Samsung Electron...,4.2,575,7k,13,4,,Noida + 84 more,,1 Lakh+ Employees (Global),"Food Processing,Public,Bhopal",
Sri Chaitanya Sc...,4.0,574,2.6k,25,,Public,Hyderabad + 84 more,37 years old,11-50 Employees (India),"Food Processing,Public,Bhopal",Sri Chaitanya first surfaced on the academic horizon in the year 1986 and within a span of 25 years went on to become Asia's largest educational group. The past two and a half decades witnessed Sri Chaitanya introducing novel academic programmes that have helped students enter the nation's premier engineering and medical colleges. The manner in which the Group has transformed the outlook towards education has been nothing short of exemplary.
Telenor,4.5,573,1k,5,,Private,"Fornebu,Fornebu + 114 more",14 years old,501-1k Employees (India),"Food Processing,Public,Bhopal","Telenor Group is a leading telecommunications company across the Nordics and Asia with 182 million customers and annual sales of around USD 13 billion (2018).

Telenor Group has mobile operations in the Nordics, including Norway, Sweden, Denmark, Finland and in Asia, including Pakistan, Bangladesh, Thailand, Malaysia, Myanmar.

We have a leading Nordic position in mobile, broadband and TV services, as well as substantial activities in subsidiaries and joint venture operations, including mobile financial services and online classifieds in the Asia region. Worldwide, Telenor Group and our operations’ teams are more than 20,000 people strong."
Aristo Pharmaceu...,4.1,573,2.4k,16,,Private,"Mumbai,Maharashtra + 65 more",52 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","The Service Of The Healing Hands. Building a strong product portfolio is the bedrock of any Pharma success story. Aristo believes in blending its presence in high growth mass markets and high growth niche markets.The Marketing Team at Aristo is guided by a commitment and conviction to serve the prescribers, and to build a strong, sustainable &amp; long-term relationship with them."
Gharda Chemicals,4.1,573,3.5k,22,1,Private,"Mumbai,Maharashtra + 39 more",56 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Gharda Chemicals Limited (GCL), established in 1967, is a Research and Development Company manufacturing high quality Agrochemicals, High Performance Pigments, High Performance Polymers. GCL has five manufacturing units in Dombivli-Mumbai, Lote Parshuram-Chiplun, Panoli-Gujarat, Ankaleshwar-Gujarat and Samba-Jammu, with a state of R&D centre at Dombivli. A strong and vibrant R&D program and expertise in process development has enabled the company to capitalize on superior technology. Company has won several national and international awards for technical innovation in the chemical industry and has many firsts in the field of dyestuffs, pesticides, veterinary drugs and polymers. Company has sales turnover of over Rs.1800 Crores."
GlaxoSmithKline ...,4.5,572,2.8k,19,,Public,London + 88 more,23 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","We are a science-led global healthcare company with a mission: we want to help people to do more, feel better, live longer. The vaccines, medicines and consumer healthcare products that we research and develop can improve people’s health and well-being, ultimately helping them to live life to its fullest and contribute to the prosperity of their communities.

GSK Consumer Healthcare Ltd is an associate of GlaxoSmithKline plc.of U.K, one of world’s largest consumer healthcare companies. We have a heritage that goes back over 160 years. Our purpose is to help more people around the world to do more, feel better and live longer with everyday healthcare products.  Our goal is to build a global, growing business - we call a Fast Moving Consumer Healthcare (FMCH) company - dedicated to everyday healthcare with all of the scientific expertise and quality guarantees that demands, working at the speed and with the genuine consumer understanding the modern world expects.

We are one of the world’s leading over-the-counter (OTC) medicines company. We hold number one positions in OTC medicines across 36 markets, and are market leaders in specialist oral care."
Willis Towers Wa...,4.0,572,6.1k,46,26,Private,London + 14 more,7 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Willis Towers Watson (NASDAQ: WLTW) is a leading global advisory, broking and solutions company that helps clients around the world turn risk into a path for growth. With roots dating to 1828, Willis Towers Watson has 45,000 employees serving more than 140 countries and markets.

We design and deliver solutions that manage risk, optimize benefits, cultivate talent, and expand the power of capital to protect and strengthen institutions and individuals. Our unique perspective allows us to see the critical intersections between talent, assets and ideas — the dynamic formula that drives business performance."
Knorr-Bremse,4.1,571,3.4k,27,3,Private,Munich + 18 more,10 years old,501-1k Employees (India),"Food Processing,Public,Bhopal","Knorr-Bremse Technology Center India is a dedicated technology center catering to the Engineering, Research & Development requirements of Knorr-Bremse Group companies.
We develop best-in-class mechanical and electronic safety products for Rail and Truck Vehicle Systems. 
The culture at Knorr-Bremse TCI is expressed in the way we collaborate, the way we operate, the way we envision the future, and the high standards we set for ourselves. We see it as our role to actively shape our work environment by providing opportunities to learn and to Lead."
Suzuki Motorcycl...,4.1,571,3.7k,17,2,Private,Hamamatsu + 86 more,114 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","SUZUKI MOTORCYCLE INDIA PRIVATE LIMITED is a subsidiary of Suzuki Motor Corporation, Japan where in we are having the same manufacturing philosophy of VALUE PACKED PRODUCTS right from the inception. SMIPL will be manufacturing two wheelers best suited for the valuable Indian customers covering all segments.

Plant area and production capacity
We have installed our manufacturing plant in Gurgaon (Haryana) having the annual capacity of 7,50,000 Two Wheeler P.A. Total land area of the facility at Gurgaon is 37 acres out of which the present plant is constructed in an area of 10 acres of land. The remaining area is left for land development and future expansion."
Star Cement,4.0,571,2.8k,41,1,Public,"Kolkata,West Bengal + 46 more",22 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Star Cement Limited is the largest cement manufacturer in north east India. It's listed as BSE: 540575 NSE: STARCEMENT.Our plant is spread across 40 acres of land in the idyllic town of Lumshnong, a strategic location at Meghalaya that ensures easy availability of high-grade limestone. Our brand “Star Cement” has established itself as the most accredited brand of the region on grounds of both quality and fair pricing.Star Cement Limited is one of the most profitable cement manufacturers in North East India.Because of its prudent locational advantageBecause of its timely raw material linkageBecause of its proactive capacity expansionBecause of its expert brand positioningParentage: Star Cement is a 70.48% subsidiary of Century Plyboards (India) Limited."
DuPont,4.2,570,3.4k,26,1,Private,"Wilmington,Delaware Valley + 46 more",221 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","After more than 200 years of innovation, DuPont is entering a new era of discovery. Our community of scientists, engineers, visionaries and all of our partners are working every day to turn possibilities into real world answers that help humanity thrive. Explore how DuPont is shaping a better world."
Medlife,3.7,570,4.2k,23,6,Private,"Bangalore,Karnataka + 28 more",9 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Medlife is India's largest e-health platform . What drives Medlife is the dream that “every Indian gets access to the best possible healthcare facilities.” And true to this dream, everyday Medlife is touching millions of lives across India by making every aspect of healthcare simple, accessible, and affordable. Medlife, in fact, is the one-stop-shop for all your healthcare needs.Over-the-counter products and healthcare products• Consulting specialist doctors right at home through e-consultation• Health checkups through Medlife Labs with the provision of home sample collection service• Storing and managing all your health records with data safety ensured• Doorstep medicine delivery.Medlife offers it all right at the comfort of your home with the added benefits of:• bringing to you only the genuine healthcare products from authorized partners• offering the services at discounted rates and amazing cashback offers• attractive referral benefits"
National Health ...,3.7,569,2.5k,17,,Private,"Guwahati,Assam + 189 more",18 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","The National Rural Health Mission (NRHM) was launched by the Hon’ble Prime Minister to provide accessible, affordable and quality health care to the rural population, especially the vulnerable groups. The key features in order to achieve the goals of the Mission include making the public health delivery system fully functional and accountable to the community, human resources management, community involvement, decentralization, rigorous monitoring & evaluation against standards, the convergence of health and related programmes from village level upwards, innovations and flexible financing and also interventions for improving the health indicators."
Varroc Polymers,3.8,567,3.1k,24,,Private,"Aurangabad,Maharashtra + 28 more",28 years old,201-500 Employees (India),"Food Processing,Public,Bhopal","Varroc Polymers Private Limited manufactures and distributes automobile components and accessories. The Company supplies plastic and polymer, electrical and electronics, and precision metallic components, as well as exterior lighting systems to two and three wheelers, passenger cars, and off highway vehicle manufacturers. Varroc Polymers serves customers worldwide."
Indira IVF Hospi...,4.0,567,2.5k,21,113,Private,"Udaipur,Rajasthan + 76 more",8 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","A decision to have a baby is both powerful and magnificent. It is a choice that allows an experience where you submit your mind, body, and heart. And it is their tiniest feet which create the greatest footprints in our hearts. A baby also brings the hope that something wonderful is about to happen. Indira IVF was born behind these noble thoughts in the year 1988 in a humble two-room clinic in the city of Udaipur, Rajasthan, India.Indira IVF is the brainchild of Dr. Ajay Murdia (a career spanning more than three decades), which has now grown into one of the leading fertility chains in India from its humble beginnings with IVF centers across the length and breadth of the Indian peninsula."
Renew Solar Powe...,4.3,567,3.4k,39,114,Private,Gurgaon + 51 more,12 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","ReNew Power is the largest renewable energy IPP in India in terms of total energy generation capacity. Since commencing operations with a 25.2 MW wind project in Jasdan, Gujarat, the company has grown exponentially, and has a current renewable asset base of over 8 GW, of which more than 5 GW is operational.

ReNew Power develops, builds, owns and operates utility scale wind and solar energy projects as well as distributed solar energy projects that generate energy for commercial and industrial customers. It today operates more than 100 utility scale projects spread across 8 states in India, generating 1% of India’s total electricity and helping to mitigate 0.5% of India’s total carbon emissions.

Established in the year 2011 by Sumant Sinha, ReNew Power is backed by marquee investors from across the globe such as Goldman Sachs, Abu Dhabi Investment Authority, Canada Pension Plan Investment Board, JERA (a joint venture between two of Japan’s largest utilities companies, Tokyo Electric Power Co., Inc. and Chubu Electric Power Co.) and Global Environment Fund."
DLF,4.0,565,3.2k,46,7,Public,"Gurgaon/Gurugram,Haryana + 23 more",77 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Founded in 1946 by Chaudhary Raghvendra Singh, DLF started with the creation of 22 urban colonies in Delhi. In 1985, the company expanded into the then-unknown region of Gurugram, creating exceptional living and working spaces for the new Indian global professionals. Today, DLF is the largest publicly listed real estate company in India, with residential, commercial, and retail properties in 15 states and 24 cities.Our diverse verticals reflect our dedication to developing ecosystems for India’s changing needs. But our foundation has always been our employees, our customers, our stakeholders, and our shareholders. We invest in spearheading innovation through empowerment and optimism, in order to build the foundation of India’s future on the legacy of our past."
Amara Raja Group,4.1,565,3k,46,16,Public,"Bangalore/Bengaluru,Karnataka + 47 more",38 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Amara Raja believes in influencing and improving the quality of life by building institutions that provide better access to better opportunities, goods and services to people all the time. With innovative engineering, research and design, Amara Raja has grown with partnerships and information sharing with world leaders.  Amara Raja is commited towards latest generation technologies by developing and manufacturing globally competitive, customer focused products of world class quality and responsibly introducing these products into relevant markets."
Rashmi Metaliks,3.5,564,3.3k,30,35,Private,"Kolkata,West Bengal + 19 more",19 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","An innovative spirit and the desire to establish excellence at every stage of production have been the driving forces behind the company&rsquo;s remarkable growth story. Rashmi Metaliks Limited is 1.50 MTPA State-Of-Art Integrated Steel manufacturing facility comprises of viz., Pellet, Sinter, Pig iron, Sponge Iron, Ductile Iron Pipe, Billet, TMT &amp; Wire Rod. The Kitty of products also include Ferro Alloys and 120 MW of Captive Power Generation Plant. Pellet has a production of 2.1 MTPA &amp; will be expanded to 3.3 MTPA. Applying highest ecological standards and latest manufacturing technology has made Rashmi Metaliks Limited &ndash; a name synonymous with reliability &amp; quality in the Eastern India&rsquo;s iron &amp; steel manufacturing industry. It is one of the flagship companies of Rashmi Group, incorporated in the year 2004 in West Bengal. It makes products like Pig Iron, Sponge Iron, Billets, TMT Bars, Wire Rods and Ductile Iron Pipes. It consists of a Sinter Plant, Pellet Plant, Blast Furnace, Power Plant, Steel Melting Shop and Rolling Mill. It is accredited with quality certification ISO 9001:2008 and environmental certification OHSAS18001, ISO 14001:2004."
Capital Numbers ...,4.7,562,869,15,2,Private,"Kolkata,West Bengal + 4 more",11 years old,501-1k Employees (India),"Food Processing,Public,Bhopal","Capital Numbers is an ISO 9001 and ISO 27001 certified digital solutions company with 600+ experts working full time across three delivery centres. Established in 2012, Capital Numbers is headquartered in Kolkata, India with offices in the USA and Australia. We are winners of multiple awards and accolades from organizations like CNBC TV-18, CII, Clutch, GoodFirms, Deloitte, Financial Times, Statista, World HRD Congress, The Economic Times, and Bengal Chamber of Commerce.

Our industry expertise includes digital publishing, SaaS applications, online retail, financial services, travel and consumer, software and hi-tech, business information and media, life sciences and healthcare, as well as other emerging industries. Our primary aim is to provide our clients with quality services, customer-specific technologies, and comprehensive expertise.

Our clientele includes Global Brands, Digital Publishers, Silicon Valley Entrepreneurs, Digital Agencies and SMEs located around the world, primarily in North America, Europe, Middle-East, and Australia.

We're a fast-growing, talented, and driven team. We’ve been remote since March 2020, live all across India, and work from our homes, co-working spaces — anywhere we can accomplish great work. We've created a space where high-achievers can succeed and do meaningful work.

Quick Facts:
> Established in 2012
> 25000 Sq. Ft. delivery center
> 30% YoY revenue growth
> Rated 4.7/5 on GlassDoor
> Best in class work environment
> Equal opportunity employer

Notable Awards Won In 2021:

1. CNBC-TV18 ""Most Trusted Brands Of India""
2. Financial Times ""High Growth Companies - Asia Pacific""
3. ETRise ""India’s Top Performing MSMEs"""
Greenko Group,3.9,561,3.1k,23,2,Private,Hyderabad + 45 more,19 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Greenko is a mainstream participant in the growing Indian energy industry and a market leading owner and operator of clean energy projects in India. The Group is building a de-risked portfolio of wind, solar, hydropower, natural gas and biomass assets within India and intends to increase the installed capacity it operates by developing new greenfield assets. Greenko's portfolio is carefully diversified geographically and risk is spread across a number of projects which utilise varied environmental technologies.Greenko currently has 1.5 GW of operating capacity and plans to achieve 3.0 GW capacity by 2018. With a core belief in sustainability both operationally and environmentally, Greenko endeavours to be a responsible business playing an important role in the community beyond its role in the power generation industry. The Company maintains a continuous involvement in localised projects and community programmes which centre on education, health and wellbeing, environmental stewardship and improving rural infrastructure."
Aarvi Encon,3.9,561,2.8k,32,8,Public,"Mumbai,Maharashtra + 70 more",36 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Aarvi was founded in year 1987 with Head Office in Mumbai and today we have presence in all the major locations in India.
We are an ISO 9001: 2015 certified Company with CRISIL SME-1 rating which indicates Highest Creditworthiness. This was made possible by strict adherence to Quality Management Systems & Accounting Standards.
We have been creating value for our clients in India and Overseas by delivering world-class Engineering and Manpower Outsourcing Services. Our dynamic approach to problem solving enables us to deliver quality services on time coupled with consistent performance to our clients in India & Overseas. Many of our clients in Oil & Gas, Refinery, Petrochemicals, Cross-country Pipeline, Power, Infrastructure and Telecom sectors have retained us as their preferred service provider. And we are associated with them for years. We offer services across disciplines such as Piping, Mechanical, Process, Civil, Electrical, Instrumentation, Electronics & Telecommunication and Information Technology."
Orchids Internat...,3.0,560,2.9k,51,57,Private,"Nasik/Nashik,Maharashtra + 22 more",19 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Orchids – The International School is the education initiative of K12Techno Services Pvt. Ltd. K12 which currently manages over 100 educational institutes across the country where over 60,000 students are nurtured under the guidance of 4000 + teachers."
DAV Public Schoo...,4.0,559,1.8k,16,,Private,"Delhi/NCR,New Delhi + 123 more",137 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","D.A.V. stands for Faith in the eternal values of Vedic culture and study DAV Public School, Sahibabad, NCRof Modern Indian Language, Science and Technology. The school is committed to academic excellence, art, athletics and intellectual growth of the students. It also aims at inculcating strong moral and social values in the students. D.A.V. Public School, Ghaziabad (U.P.) was established in April 1984 under D.A.V. College Managing Committee, Chitragupta Road, New Delhi with 60 students and 7 teachers. Today it has its own magnificent spacious building spread over an area of 10 acres with Facilities for academics, games and sports. It has about 4600 students and staff spanning over 250. School Vision Bestow upon our students totality in education with elite excellence &amp; spirited cognizance in compassionate environment to envisage all round development of their personality. ICT Vision To foresee distinguish and respond to changing trends &amp; opportunities in worldwideDAV Public School, Sahibabad, NCR education, we integrate effectual technological infrastructure as a mechanism ascertaining technology creation capabilities,where by analyzing and hijacking the gains of information technology with an inclination to support revolutionary professional teaching &amp; inquisitive learning School Mission Impart spectacular &amp; holistic education for a better tomorrow with affluent legacy of the orient in order to engender model Indian citizen for the transmission of global knowledge and attitudes having harmonious blend of Vedic trace &amp; Scientific approach."
Federal Bank,4.0,558,4.5k,61,,Public,"Aluva,Kerala + 103 more",92 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Federal Bank Limited is a major Indian commercial bank in the private sector headquartered at Aluva, Kerala having more than thousand branches and ATMs spread across different States in India. The Bank is a pioneer among traditional banks in India in the area of using technology to leverage its operations and was among the first banks in India to computerize all its branches. The Bank offer its customers, a variety of services such as Internet banking, Mobile banking, on-line bill payment, online fee collection, depository services, Cash Management Services, merchant banking services, insurance, mutual fund products and many more as part of its strategy to position itself as a financial super market and to enhance customer convenience. The history of Federal Bank dates back to the pre-independence era. The Bank was incorporated on April 23, 1931 as the Travancore Federal Bank Limited, Nedumpuram under the Travancore Companies Regulation, 1916. Late K.P. Hormis, the visionary banker and founder took up the reigns in 1945 and built the bank a nationwide institution. The Bank's name was changed to The Federal Bank Limited on December 2,1949. The Bank was licensed under the Banking Regulation Act, 1949, on July 11, 1959 and became a scheduled commercial bank under the Second Schedule of Reserve Bank of India Act, 1934 on July 20, 1970. Today the bank is present in 25 States, Delhi NCT and 4 Union Territories and the bank is listed in BSE, NSE and London Stock Exchange."
General Mills,4.3,558,4.1k,34,62,Private,"Minneapolis,Minnesota + 35 more",95 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","General Mills is reshaping the future of food. We believe food makes us better. It nourishes our bodies, brings us joy and connects us to each other. As one of the world’s leading food companies, General Mills operates in more than 100 countries and markets more than 100 consumer brands, including Cheerios, Nature Valley, Betty Crocker, Yoplait, Annie’s Homegrown, Old El Paso, Epic Provisions, Blue Buffalo and more. Are you passionate about the future of food? You’ve come to the right table. We want the very best talent to help lead something big."
Skill Lync,3.2,558,3.1k,71,76,,"Palo Alto,California + 10 more",8 years old,201-500 Employees (India),"Food Processing,Public,Bhopal","Skill-Lync delivers quality education by leveraging technology to equip students with the technical skillset they require, to start and succeed in their respective career paths. Quality educational content created by industry experts is distributed online through our platform across the globe at an affordable rate."
Page Industries,4.3,557,3.1k,19,8,Public,"Bangalore/Bengaluru,Karnataka + 59 more",29 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","""Page Industries Limited, headquartered in Bangalore, India is the exclusive licensee of JOCKEY International, Inc. (USA) for manufacture, distribution and marketing of the JOCKEY brand in India, Sri Lanka, Maldives, Bangladesh, Nepal, Bhutan, UAE, Qatar and Oman.
It has also obtained exclusive license of Speedo International Limited (England) in 2012 for the manufacture, marketing and distribution of the Speedo brand in India and Nepal.
JOCKEY, the company’s flagship brand is a market leader in the innerwear and athleisure category. Page Industries Limited, along with brand JOCKEY, has pioneered the innerwear and athleisure industry on many fronts. The introduction of high-quality products coupled with an organized and extensive network of distributors pan India has created a paradigm shift in the way consumers perceive innerwear in the country.
As of March 2019, the brand JOCKEY has 620 EBOs across India with 476 stores on high streets, 144 stores in shopping malls with high footfalls and 4 EBOs in the UAE and 2 in Sri Lanka. These stores reinforce the legacy of brand JOCKEY and allow us to showcase our complete range of products in Innerwear, Athleisure and Sportswear for men, women and kids.
Brand Speedo is present in over 1,299 stores across 155 cities and towns across the country. Additionally, with 42 EBOs in Delhi, Gurgaon, Noida, Mumbai, Bangalore, Chennai, Pune and Ahmedabad, Page Industries is geared to take brand Speedo to the next level of consumer connect and make it the most sought-after swimwear brand in the country."""
